id;tag_id;printed_nr;user_nr
3;2353094688;3;3
4;1010917408;4;4
5;1346396192;5;5
6;71524384;6;6
7;2890031136;7;7
11;2621595680;11;11
12;2151768096;12;12
13;809590816;13;13
15;138633248;15;15
16;2957140000;16;16
18;1145135136;18;18
23;1615028256;23;23
27;809721888;27;27
31;1665355808;31;31
33;3494010912;33;33
34;390287392;34;34
36;3426902048;36;36
37;675504160;37;37
40;608395296;40;40
46;3695337504;46;46
52;2688704544;52;52
55;2420269088;55;55
63;2487377952;63;63
69;2621464608;69;69
99;474177568;99;99
203;4030685216;203;3
204;2822725664;204;4
205;2654945312;205;5
206;3745599520;206;6
207;1648443424;207;7
211;4198514720;211;11
212;4265623584;212;12
213;474112032;213;13
215;4097794080;215;15
216;3426705440;216;16
218;1312899104;218;18
223;977289248;223;23
227;3946926112;227;27
231;2067943456;231;31
233;3258925088;233;33
234;3074576416;234;34
236;3963707424;236;36
237;2956943392;237;37
240;4282535968;240;40
246;2403487776;246;46
252;3795861536;252;52
255;2135052320;255;55
263;742547488;263;63
269;272785440;269;69
299;2269204512;299;99
399;37765152;399;444
400;373309472;400;333
