id;nr;cell;time;order;order_kat;start_nr;lap;user_id;nr;name;first_name;category;club;birthday;sex;email;symbol;paid;note;#1;#2;#3;#4;
731;0;1;00:00:00,00;;;1;0;6;0;unknown;;unknown;;;;;;;;;;;;
730;0;250;00:00:00,80;004;001;1;0;6;0;unknown;;unknown;;;;;;;;;;;;
729;0;250;00:00:00,30;003;001;1;0;6;0;unknown;;unknown;;;;;;;;;;;;
727;3;250;00:00:00,20;002;002;1;2;3;3;borecek;;Kategorie C;;1970;muž;;;;;;;;;
726;3;250;00:00:00,10;001;001;1;1;3;3;borecek;;Kategorie C;;1970;muž;;;;;;;;;
725;0;250;00:01:00,60;008;001;1;0;6;0;unknown;;unknown;;;;;;;;;;;;
724;0;250;00:00:40,40;007;001;1;0;6;0;unknown;;unknown;;;;;;;;;;;;
723;0;250;00:00:30,30;006;001;1;0;6;0;unknown;;unknown;;;;;;;;;;;;
722;0;1;00:00:20,21;;;1;0;6;0;unknown;;unknown;;;;;;;;;;;;
721;0;250;00:00:10,10;005;001;1;0;6;0;unknown;;unknown;;;;;;;;;;;;
720;0;1;00:00:00,00;;;1;0;6;0;unknown;;unknown;;;;;;;;;;;;
